Date,ABBOTINDIA.NS,ALKEM.NS,AUROPHARMA.NS,BIOCON.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,GLAND.NS,GLAXO.NS,GLENMARK.NS,GRANULES.NS,IPCALAB.NS,LAURUSLABS.NS,LUPIN.NS,NATCOPHARM.NS,PFIZER.NS,SANOFI.NS,SUNPHARMA.NS,TORNTPHARM.NS,ZYDUSLIFE.NS
2025-08-14,33265.0,5347.5,1083.5999755859375,359.25,1564.0,6132.5,1260.4000244140625,1975.800048828125,2769.60009765625,2039.5972900390625,459.3999938964844,1365.9000244140625,859.7000122070312,1961.5999755859375,872.4500122070312,5328.0,5076.0,1641.4000244140625,3623.0,988.7999877929688
2025-08-18,32590.0,5346.0,1089.300048828125,364.29998779296875,1565.199951171875,6164.5,1262.699951171875,1973.0,2794.10009765625,1969.0703125,461.3500061035156,1383.800048828125,865.6500244140625,1968.300048828125,872.4500122070312,5766.5,5101.5,1632.699951171875,3651.60009765625,986.5
2025-08-19,33065.0,5392.0,1089.699951171875,363.8500061035156,1548.9000244140625,6079.5,1244.199951171875,1944.5,2807.199951171875,1941.0389404296875,458.04998779296875,1383.5,883.9000244140625,1968.5999755859375,892.7000122070312,5698.5,5174.0,1626.5999755859375,3651.60009765625,989.4500122070312
2025-08-20,32595.0,5393.0,1046.4000244140625,359.45001220703125,1546.0999755859375,6005.0,1245.4000244140625,1943.5999755859375,2781.300048828125,1919.2923583984375,461.3500061035156,1370.4000244140625,876.0499877929688,1940.300048828125,888.8499755859375,5655.5,5166.5,1633.0999755859375,3663.800048828125,983.2999877929688
2025-08-21,32635.0,5422.0,1041.0,357.75,1592.800048828125,6028.0,1276.5999755859375,1944.800048828125,2780.39990234375,1936.1510009765625,462.0,1359.0999755859375,889.9000244140625,1962.5,881.2000122070312,5680.5,5271.0,1640.199951171875,3647.39990234375,985.7999877929688
2025-08-22,31875.0,5426.0,1050.4000244140625,359.5,1592.800048828125,6151.5,1277.5999755859375,1957.4000244140625,2798.800048828125,1932.559814453125,458.5,1418.4000244140625,879.0999755859375,1974.699951171875,882.4500122070312,5668.5,5230.5,1641.800048828125,3685.300048828125,988.7999877929688
2025-08-25,31520.0,5415.5,1067.4000244140625,359.95001220703125,1601.199951171875,6248.5,1283.9000244140625,1941.0,2802.10009765625,1951.3138427734375,460.70001220703125,1399.9000244140625,873.2000122070312,1966.300048828125,874.8499755859375,5466.5,5228.5,1656.699951171875,3674.5,1023.1500244140625
2025-08-26,31885.0,5422.0,1045.5999755859375,358.29998779296875,1579.800048828125,6190.5,1263.199951171875,1927.5,2789.39990234375,1945.9268798828125,469.5,1434.5,868.6500244140625,1924.5999755859375,855.25,5249.0,5104.0,1600.300048828125,3604.800048828125,987.8499755859375
2025-08-28,31475.0,5376.0,1026.300048828125,353.25,1580.300048828125,6132.0,1259.800048828125,1886.800048828125,2749.199951171875,1932.1607666015625,467.25,1418.5,862.0,1902.4000244140625,867.1500244140625,5168.0,5110.0,1585.699951171875,3576.89990234375,978.5999755859375
2025-08-29,31480.0,5303.5,1027.9000244140625,348.3500061035156,1589.4000244140625,6131.5,1260.0999755859375,1871.5,2785.0,1919.192626953125,492.25,1384.4000244140625,856.9000244140625,1894.9000244140625,862.0,5156.0,5144.0,1594.5,3559.800048828125,981.0499877929688
2025-09-01,32130.0,5300.5,1025.0,352.54998779296875,1587.199951171875,6093.0,1279.9000244140625,1871.0999755859375,2808.5,1922.0855712890625,515.7999877929688,1370.0999755859375,860.0,1898.0,864.7999877929688,5135.0,5111.5,1563.300048828125,3584.300048828125,991.0499877929688
2025-09-02,32495.0,5246.5,1022.2000122070312,356.1000061035156,1569.199951171875,6120.5,1253.699951171875,1867.0,2752.199951171875,1914.1051025390625,507.79998779296875,1367.5999755859375,860.0999755859375,1889.699951171875,865.6500244140625,5107.5,5115.0,1565.199951171875,3582.89990234375,996.0999755859375
2025-09-03,32575.0,5292.0,1034.9000244140625,361.54998779296875,1578.4000244140625,6164.0,1262.199951171875,1876.800048828125,2776.89990234375,1999.49560546875,518.4500122070312,1352.0,874.7000122070312,1951.0999755859375,872.0,5174.0,5130.0,1578.699951171875,3606.699951171875,1008.2000122070312
2025-09-04,32175.0,5301.5,1036.0,356.8500061035156,1577.800048828125,6133.5,1253.0,1886.0,2851.800048828125,1986.028564453125,512.8499755859375,1339.199951171875,874.0999755859375,1939.199951171875,855.5499877929688,5155.0,5102.0,1582.300048828125,3599.300048828125,1011.9500122070312
2025-09-05,31150.0,5333.5,1044.0999755859375,363.70001220703125,1553.4000244140625,6009.0,1268.0999755859375,1892.199951171875,2770.300048828125,2046.879150390625,511.3999938964844,1335.0,880.6500244140625,1943.9000244140625,852.75,5118.0,5090.5,1593.5999755859375,3579.10009765625,1013.8499755859375
2025-09-08,30965.0,5333.0,1040.199951171875,364.1499938964844,1541.199951171875,6027.5,1250.5999755859375,1878.0999755859375,2819.10009765625,2046.879150390625,519.25,1320.4000244140625,895.2000122070312,1947.199951171875,846.0999755859375,5143.5,5080.5,1581.0,3612.89990234375,1009.6500244140625
2025-09-09,30630.0,5336.0,1043.9000244140625,364.5,1551.5999755859375,6002.5,1291.300048828125,1921.0,2820.60009765625,2111.121826171875,525.0999755859375,1320.0999755859375,902.2999877929688,1957.300048828125,841.25,5153.0,5049.0,1591.699951171875,3643.300048828125,1035.5999755859375
2025-09-10,31255.0,5320.5,1050.300048828125,364.20001220703125,1563.800048828125,6031.5,1304.199951171875,1902.5,2837.5,2125.68603515625,524.6500244140625,1313.0,896.4000244140625,1979.699951171875,844.25,5140.5,5077.0,1593.4000244140625,3591.699951171875,1039.5999755859375
2025-09-11,30975.0,5393.5,1109.199951171875,364.04998779296875,1560.800048828125,6015.5,1303.0999755859375,1965.800048828125,2863.800048828125,2122.49365234375,526.0999755859375,1312.199951171875,895.5999755859375,1988.0,848.25,5167.5,5077.0,1609.699951171875,3583.60009765625,1043.5999755859375
2025-09-12,30980.0,5448.0,1094.4000244140625,365.20001220703125,1574.5999755859375,6026.5,1316.699951171875,2021.199951171875,2774.0,2127.281982421875,534.3499755859375,1314.800048828125,896.0499877929688,2043.4000244140625,862.2000122070312,5227.0,5067.0,1616.5999755859375,3566.199951171875,1044.75
2025-09-15,30910.0,5500.5,1100.0999755859375,358.25,1548.300048828125,6057.0,1300.800048828125,2017.199951171875,2755.199951171875,2096.821044921875,533.3499755859375,1310.300048828125,895.0,2046.0,851.4000244140625,5162.5,5039.5,1602.0,3531.60009765625,1036.9000244140625
2025-09-16,30930.0,5503.0,1091.5999755859375,360.20001220703125,1559.0,6099.5,1310.4000244140625,2021.800048828125,2738.199951171875,2074.349609375,539.7999877929688,1311.5,894.8499755859375,2051.800048828125,852.1500244140625,5140.5,5025.0,1610.5,3535.5,1034.5
2025-09-17,30970.0,5472.5,1095.699951171875,354.3500061035156,1559.5999755859375,6051.5,1311.4000244140625,1986.9000244140625,2742.0,2039.7939453125,546.0499877929688,1311.199951171875,893.9500122070312,2031.199951171875,857.25,5202.5,5051.5,1620.199951171875,3548.300048828125,1033.800048828125
2025-09-18,30890.0,5479.5,1128.9000244140625,368.3999938964844,1578.199951171875,6112.0,1322.699951171875,2016.5,2755.39990234375,2105.70947265625,543.1500244140625,1340.800048828125,923.25,2046.5999755859375,884.2999877929688,5192.5,5037.0,1648.5999755859375,3567.39990234375,1047.8499755859375
2025-09-19,30365.0,5541.5,1119.199951171875,369.20001220703125,1575.800048828125,6200.0,1321.699951171875,2022.800048828125,2741.10009765625,2082.539306640625,543.4000244140625,1441.0,932.0999755859375,2055.60009765625,884.25,5107.5,5037.5,1656.0,3629.199951171875,1037.300048828125
2025-09-22,30195.0,5495.0,1117.4000244140625,362.1499938964844,1542.199951171875,6092.5,1301.4000244140625,2014.800048828125,2762.300048828125,2015.225341796875,526.2999877929688,1399.300048828125,903.7999877929688,2004.4000244140625,864.5,5066.5,5018.0,1644.0,3655.89990234375,1035.699951171875
2025-09-23,30225.0,5544.5,1109.9000244140625,359.5,1527.0999755859375,6051.0,1308.4000244140625,2017.199951171875,2761.699951171875,2014.2265625,523.7999877929688,1395.199951171875,910.0499877929688,2007.0,855.5,5026.0,5001.5,1631.199951171875,3651.5,1044.8499755859375
2025-09-24,30195.0,5576.0,1090.9000244140625,358.95001220703125,1538.0,5984.0,1298.0999755859375,1977.800048828125,2746.39990234375,2016.024169921875,530.7999877929688,1348.4000244140625,909.75,1990.9000244140625,854.2000122070312,5005.0,4989.0,1627.0999755859375,3614.60009765625,1036.0
2025-09-25,30195.0,5508.0,1097.0,355.95001220703125,1509.699951171875,5897.0,1275.199951171875,1972.800048828125,2738.199951171875,2028.1087646484375,530.1500244140625,1350.5,896.3499755859375,1963.5,842.2999877929688,4977.0,4881.0,1627.4000244140625,3531.60009765625,1019.25
2025-09-26,29740.0,5433.0,1090.0,338.8999938964844,1499.4000244140625,5689.5,1253.0999755859375,1958.0999755859375,2672.39990234375,1969.18408203125,515.9000244140625,1371.199951171875,832.2999877929688,1919.800048828125,820.75,4931.0,4748.5,1586.699951171875,3561.0,975.0
2025-09-29,29665.0,5409.0,1089.5,340.1499938964844,1488.0,5697.5,1234.5999755859375,1998.0,2662.89990234375,1955.7012939453125,514.5999755859375,1317.0,840.9500122070312,1933.199951171875,795.4000244140625,4905.5,4705.5,1589.300048828125,3586.60009765625,992.0999755859375
2025-09-30,29290.0,5425.0,1083.9000244140625,341.0,1503.300048828125,5689.5,1223.699951171875,1991.5999755859375,2659.699951171875,1950.208251953125,517.0,1339.0,841.7999877929688,1911.300048828125,795.5499877929688,5036.0,4650.0,1594.300048828125,3603.199951171875,981.9000244140625
2025-10-01,29890.0,5459.5,1086.0,346.45001220703125,1513.0,5710.0,1244.699951171875,1981.5999755859375,2697.199951171875,1956.699951171875,542.6500244140625,1327.300048828125,872.0,1981.300048828125,806.5499877929688,5151.0,4704.7998046875,1636.199951171875,3567.10009765625,991.1500244140625
2025-10-03,29965.0,5442.0,1093.300048828125,352.25,1517.699951171875,5866.0,1248.0999755859375,1951.4000244140625,2745.800048828125,1980.199951171875,557.2999877929688,1313.0999755859375,864.4000244140625,1973.5999755859375,822.5499877929688,5222.5,4709.60009765625,1631.199951171875,3514.699951171875,988.2999877929688
2025-10-06,30020.0,5494.0,1096.5,347.75,1513.0999755859375,5826.5,1248.5999755859375,1939.5999755859375,2732.300048828125,1971.199951171875,552.7000122070312,1323.199951171875,863.0,1937.300048828125,815.1500244140625,5223.5,4776.7998046875,1654.699951171875,3526.0,994.6500244140625
2025-10-07,29825.0,5492.0,1090.0999755859375,347.79998779296875,1513.300048828125,6104.5,1248.5,1940.300048828125,2740.39990234375,1962.5999755859375,555.9000244140625,1359.800048828125,863.4000244140625,1924.800048828125,811.4000244140625,5223.0,4741.39990234375,1653.0999755859375,3536.89990234375,987.9000244140625
2025-10-08,29925.0,5493.5,1070.800048828125,349.0,1494.5999755859375,6120.5,1234.5,1957.0,2729.60009765625,1929.300048828125,548.75,1352.0999755859375,853.8499755859375,1905.5999755859375,809.0,5188.0,4733.7001953125,1631.5999755859375,3569.0,985.9500122070312
2025-10-09,29690.0,5480.5,1119.9000244140625,352.5,1513.0999755859375,6132.0,1246.0999755859375,1952.800048828125,2761.0,1935.5999755859375,566.1500244140625,1339.5,865.0999755859375,1957.5999755859375,813.5499877929688,5266.5,4713.39990234375,1658.5,3550.5,994.4500122070312
2025-10-10,30130.0,5454.5,1130.300048828125,353.45001220703125,1561.800048828125,6474.5,1264.4000244140625,1923.4000244140625,2767.39990234375,1939.300048828125,568.5499877929688,1334.5,876.75,1959.300048828125,845.7999877929688,5333.0,4698.89990234375,1670.9000244140625,3532.800048828125,993.4500122070312
2025-10-13,29995.0,5492.5,1136.800048828125,349.3999938964844,1563.5999755859375,6556.0,1262.4000244140625,1928.5999755859375,2750.5,1909.5999755859375,564.0,1323.5,874.2999877929688,1972.4000244140625,839.7999877929688,5529.5,4704.39990234375,1668.4000244140625,3518.199951171875,995.5
2025-10-14,30095.0,5493.0,1124.800048828125,351.8500061035156,1552.300048828125,6561.0,1237.300048828125,1920.800048828125,2763.60009765625,1892.800048828125,570.0,1306.0999755859375,877.9500122070312,1937.300048828125,809.7000122070312,5390.0,4726.2001953125,1654.4000244140625,3522.0,979.25
